#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS15_KS_1p0668mm_SINGLE_LAYER"
4.692706466E-01 9.144000411E-01 -3.238588572E-02
4.692706168E-01 9.144000411E-01 -3.238588944E-02
4.666997790E-01 9.144000411E-01 -3.251778334E-02
4.666997790E-01 9.144000411E-01 -3.251778334E-02
4.641288221E-01 9.144000411E-01 -3.264794499E-02
4.641287923E-01 9.144000411E-01 -3.264794499E-02
4.615577459E-01 9.144000411E-01 -3.277641907E-02
4.615577459E-01 9.144000411E-01 -3.277641907E-02
4.589866102E-01 9.144000411E-01 -3.290320560E-02
4.589866102E-01 9.144000411E-01 -3.290320560E-02
4.564153850E-01 9.144000411E-01 -3.302834928E-02
4.564153850E-01 9.144000411E-01 -3.302835301E-02
4.538441002E-01 9.144000411E-01 -3.315179795E-02
4.538441002E-01 9.144000411E-01 -3.315179795E-02
4.512726963E-01 9.144000411E-01 -3.327352926E-02
4.512726665E-01 9.144000411E-01 -3.327353299E-02
4.487012327E-01 9.144000411E-01 -3.339364380E-02
4.487012327E-01 9.144000411E-01 -3.339364380E-02
4.461297095E-01 9.144000411E-01 -3.351215646E-02
4.461297095E-01 9.144000411E-01 -3.351215646E-02
4.435580671E-01 9.144000411E-01 -3.362889215E-02
4.435580671E-01 9.144000411E-01 -3.362889215E-02
4.409863949E-01 9.144000411E-01 -3.374405950E-02
4.409863949E-01 9.144000411E-01 -3.374406323E-02
4.384146333E-01 9.144000411E-01 -3.385760635E-02
4.384146333E-01 9.144000411E-01 -3.385760635E-02
4.358428121E-01 9.144000411E-01 -3.396944329E-02
4.358428121E-01 9.144000411E-01 -3.396944329E-02
4.332709014E-01 9.144000411E-01 -3.407974541E-02
4.332709014E-01 9.144000411E-01 -3.407974541E-02
4.306989312E-01 9.144000411E-01 -3.418831155E-02
4.306989014E-01 9.144000411E-01 -3.418831155E-02
4.281269014E-01 9.144000411E-01 -3.429534286E-02
4.281269014E-01 9.144000411E-01 -3.429534286E-02
4.255547822E-01 9.144000411E-01 -3.440069035E-02
4.255547822E-01 9.144000411E-01 -3.440069035E-02
4.229826331E-01 9.144000411E-01 -3.450443968E-02
4.229826033E-01 9.144000411E-01 -3.450444341E-02
4.204103649E-01 9.144000411E-01 -3.460656852E-02
4.204103649E-01 9.144000411E-01 -3.460656852E-02
4.178380668E-01 9.144000411E-01 -3.470707312E-02
4.178380668E-01 9.144000411E-01 -3.470707312E-02
4.152657092E-01 9.144000411E-01 -3.480595350E-02
4.152657092E-01 9.144000411E-01 -3.480595350E-02
4.126932919E-01 9.144000411E-01 -3.490323201E-02
4.126932919E-01 9.144000411E-01 -3.490323201E-02
4.101208150E-01 9.144000411E-01 -3.499885648E-02
4.101207852E-01 9.144000411E-01 -3.499885648E-02
4.075482488E-01 9.144000411E-01 -3.509290144E-02
4.075482488E-01 9.144000411E-01 -3.509290144E-02
4.049756527E-01 9.144000411E-01 -3.518524766E-02
